[8.932000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff73005e10
[8.962000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f2ff73005f10
[9.021000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005e10
[9.081000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005e10
[9.112000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff73005f10
[9.172000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff73005f10
[9.232000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005f10
[9.262000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff73005f10
[9.352000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005f10
[9.442000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff72005f10
[9.472000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff72005f10
[9.532000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff74006010
[9.562000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff72005e10
[9.592000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff05ff00
[9.622000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff72006010
[9.654000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff73005f10
[9.712000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005f10
[9.712000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 08004503ff06ff00
[9.772000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005f10
[9.802000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff72005f10
[9.862000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005f10
[9.922000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005f10
[9.952000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f4ff73005f10
[10.012000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff73005f10
[10.042000000] HUB -> APP | Hub Status/Button Alert | Raw Data: 0506da
[10.072000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f3ff72005f10
[10.102000000] HUB -> APP | Other Notification (Type: 0x45) | Raw: 0a004561f5ff74006010
